Year_UTC,Month_UTC,Day_UTC,Latitude,Longitude,pH_T_measured,pH_flag
2021,6,28,48.81,-125.517,7.8423,2
2021,6,28,48.811,-125.517,-999,9
2021,6,28,48.811,-125.517,-999,9
2021,6,28,48.811,-125.517,8.1103,2
2021,6,28,48.811,-125.517,-999,9
2021,6,28,48.811,-125.517,-999,9
2021,6,28,48.811,-125.517,-999,9
2021,6,28,48.84,-125.464,7.406,2
2021,6,28,48.84,-125.464,-999,9
2021,6,28,48.841,-125.464,7.4297,6
2021,6,28,48.84,-125.464,7.4487,2
2021,6,28,48.84,-125.464,7.4538,2
2021,6,28,48.84,-125.464,-999,9
2021,6,28,48.84,-125.464,7.4673,2
2021,6,28,48.84,-125.464,-999,9
2021,6,28,48.84,-125.464,7.5656,2
2021,6,28,48.84,-125.464,7.5862,2
2021,6,28,48.84,-125.464,7.8256,2
2021,6,28,48.84,-125.464,8.1429,2
2021,6,28,48.84,-125.464,-999,9
2021,6,28,48.865,-125.425,7.5011,2
2021,6,28,48.865,-125.425,-999,9
2021,6,28,48.865,-125.425,7.5684,6
2021,6,28,48.865,-125.425,7.6128,2
2021,6,28,48.865,-125.425,7.7376,2
2021,6,28,48.865,-125.425,8.0419,2
2021,6,28,48.865,-125.425,-999,9
2021,6,28,48.361,-125.22,7.2941,2
2021,6,28,48.361,-125.22,-999,9
2021,6,28,48.361,-125.22,7.2855,2
2021,6,28,48.361,-125.22,7.2563,2
2021,6,28,48.361,-125.22,7.2576,2
2021,6,28,48.361,-125.22,-999,9
2021,6,28,48.361,-125.22,7.2899,2
2021,6,28,48.361,-125.22,7.318,2
2021,6,28,48.361,-125.22,7.3392,2
2021,6,28,48.362,-125.22,7.371,2
2021,6,28,48.362,-125.22,7.3888,2
2021,6,28,48.362,-125.22,7.4643,2
2021,6,28,48.362,-125.22,7.4958,6
2021,6,28,48.362,-125.22,7.5301,2
2021,6,28,48.362,-125.22,8.0096,3
2021,6,28,48.362,-125.22,-999,9
2021,6,28,48.37,-124.949,7.2924,2
2021,6,28,48.37,-124.949,-999,9
2021,6,28,48.37,-124.949,7.2934,6
2021,6,28,48.37,-124.95,7.3082,2
2021,6,28,48.37,-124.95,7.3808,2
2021,6,28,48.37,-124.95,7.4228,2
2021,6,28,48.37,-124.95,-999,9
2021,6,28,48.37,-124.95,7.4409,2
2021,6,28,48.37,-124.95,7.4943,2
2021,6,28,48.37,-124.95,7.6946,2
2021,6,28,48.37,-124.95,7.7039,6
2021,6,28,48.37,-124.95,7.7514,2
2021,6,28,48.37,-124.95,7.9635,2
2021,6,28,48.37,-124.95,-999,9
2021,6,28,48.37,-124.791,7.3547,2
2021,6,28,48.37,-124.791,-999,9
2021,6,28,48.37,-124.791,7.3541,6
2021,6,28,48.37,-124.791,7.3546,2
2021,6,28,48.37,-124.791,7.354,2
2021,6,28,48.37,-124.791,-999,9
2021,6,28,48.37,-124.791,7.3698,2
2021,6,28,48.37,-124.791,7.401,2
2021,6,28,48.37,-124.791,7.4075,6
2021,6,28,48.37,-124.791,7.4122,2
2021,6,28,48.37,-124.791,7.4176,2
2021,6,28,48.37,-124.791,-999,9
2021,6,28,48.131,-125.175,7.3433,2
2021,6,28,48.131,-125.175,-999,9
2021,6,28,48.131,-125.175,7.3498,6
2021,6,28,48.131,-125.175,-999,9
2021,6,28,48.131,-125.175,7.3886,2
2021,6,28,48.131,-125.175,7.3881,2
2021,6,28,48.131,-125.175,7.3886,2
2021,6,28,48.131,-125.175,-999,9
2021,6,28,48.131,-125.175,7.386,2
2021,6,28,48.131,-125.175,7.4013,2
2021,6,28,48.131,-125.175,7.4002,2
2021,6,28,48.131,-125.175,7.3981,2
2021,6,28,48.131,-125.175,7.4288,2
2021,6,28,48.131,-125.175,7.6435,2
2021,6,28,48.131,-125.175,7.7766,6
2021,6,28,48.131,-125.174,7.9946,2
2021,6,28,48.131,-125.174,8.2812,2
2021,6,28,48.131,-125.174,-999,9
2021,6,29,47.959,-125.333,7.3023,2
2021,6,29,47.959,-125.333,-999,9
2021,6,29,47.959,-125.333,7.3097,6
2021,6,29,47.96,-125.334,7.3275,2
2021,6,29,47.96,-125.334,7.3464,2
2021,6,29,47.96,-125.334,7.4381,2
2021,6,29,47.96,-125.334,7.435,2
2021,6,29,47.96,-125.334,7.4583,2
2021,6,29,47.96,-125.334,-999,9
2021,6,29,47.96,-125.334,7.4616,2
2021,6,29,47.961,-125.333,7.4652,2
2021,6,29,47.961,-125.333,7.4313,2
2021,6,29,47.961,-125.333,7.4582,2
2021,6,29,47.961,-125.333,7.5038,2
2021,6,29,47.961,-125.333,7.5804,6
2021,6,29,47.961,-125.333,7.6801,2
2021,6,29,47.961,-125.333,7.8244,2
2021,6,29,47.961,-125.333,8.0984,3
2021,6,29,47.961,-125.333,-999,9
2021,6,29,47.954,-124.907,7.3319,2
2021,6,29,47.954,-124.907,-999,9
2021,6,29,47.954,-124.907,-999,9
